Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
146,Manneh,VAN,SKC,42441,13.9,16.1,0,self,right,open,-2,15.22043935,16.61384964,13.9,33.9
147,Morales,VAN,SKC,42441,10,24.9,1,self,right,set-piece,-2,29.14581859,10.00449899,10,25.1
148,Dwyer,SKC,VAN,42441,20.5,19.2,1,self,left,open,0,13.40953163,21.36000936,20.5,30.8
149,Hallisey,SKC,VAN,42441,21.2,24.8,0,self,left,open,2,13.98263682,21.20377325,21.2,25.2
150,Dwyer,SKC,VAN,42441,4.4,31.9,1,cross,left,open,2,20.80695732,8.015609771,4.4,18.1
151,Dwyer,SKC,VAN,42441,7.9,31.6,0,cross,header,open,1,22.49303557,10.16710382,7.9,18.4
152,Dwyer,SKC,VAN,42441,20.8,37.6,0,pass,left,open,1,10.48136976,24.21569739,20.8,12.4
153,Fernandes,PHI,COL,42441,12.4,31.4,0,pass,left,open,0,18.93461925,13.86362146,12.4,18.6
154,Pontius,PHI,COL,42441,5,22.5,1,cross,right,set-piece,0,46.71302925,5.682429058,5,27.5
155,Pontius,PHI,COL,42441,14.9,30.9,1,other,left,open,1,17.21536692,15.95305613,14.9,19.1
156,Le Toux,PHI,COL,42441,8.1,18.5,0,pass,right,open,2,22.61745046,10.51189802,8.1,31.5
157,Afful,COL,PHI,42441,26.7,18.5,0,pass,right,open,0,10.51006346,27.52780413,26.7,31.5
158,Jimenez,COL,PHI,42441,7.8,33.9,0,pass,right,open,0,16.92494727,11.68460526,7.8,16.1
159,Finlay,COL,PHI,42441,6.8,20.5,0,cross,header,open,-1,30.62541907,8.266196223,6.8,29.5
160,Meram,COL,PHI,42441,19.1,17.1,0,self,right,open,-2,13.29063881,20.74656598,19.1,32.9
161,Cedrick,COL,PHI,42441,10,32.7,0,self,right,open,-2,18.82509243,12.5,10,17.3
162,K. Kamara,COL,PHI,42441,8.4,28.5,1,cross,header,set-piece,-2,29.87129208,9.024965374,8.4,21.5
163,Meram,COL,PHI,42441,9.2,19.6,0,other,left,open,-1,24.08157384,10.77032961,9.2,30.4
164,Van Damme,LA,CO,42441,7,30.8,0,cross,header,set-piece,0,25.62725759,8.964373932,7,19.2
165,Zardes,LA,CO,42441,15.3,16.3,0,pass,right,open,0,14.71135527,17.70028248,15.3,33.7
166,Badji,CO,LA,42441,13.8,15.2,0,cross,header,set-piece,0,14.38849085,17.04230031,13.8,34.8
167,Powers,CO,LA,42441,23.1,25.5,0,pass,right,open,0,12.83780698,23.10194797,23.1,24.5
168,Cronin,CO,LA,42441,17.2,36,0,other,left,open,0,12.30374792,20.30960364,17.2,14
169,Sjoberg,CO,LA,42441,4.4,31.5,0,cross,header,set-piece,0,22.64285445,7.684399781,4.4,18.5
170,Gashi,CO,LA,42441,6,36,0,pass,left,open,0,11.73173427,12.35475617,6,14
171,Pappa,CO,LA,42441,24.1,18.5,0,self,left,open,0,11.49396042,25.01399608,24.1,31.5
172,Gashi,CO,LA,42441,22.8,40.4,0,self,left,open,0,8.980156121,27.40218969,22.8,9.6
173,Pappa,CO,LA,42441,49.4,34.9,0,self,left,open,0,5.793916573,50.3433213,49.4,15.1
174,Pappa,CO,LA,42441,11.4,33.7,1,other,left,open,0,16.59690873,14.22005626,11.4,16.3
175,Zizzo,NYRB,MTL,42441,15.8,18,0,self,left,open,0,15.72114336,17.36317943,15.8,32
176,B. Wright-Phillips,NYRB,MTL,42441,8.2,27.2,0,pass,left,open,-1,33.13595125,8.440379138,8.2,22.8
177,B. Wright-Phillips,NYRB,MTL,42441,16.7,26.9,0,pass,right,open,-2,17.48100577,16.78630394,16.7,23.1
178,Oduro,MTL,NYRB,42441,5.7,15.8,0,pass,right,open,0,15.03217905,10.9931797,5.7,34.2
